FILO,CLASSE,ORDEM,FAMÍLIA,ESPÉCIES,Sigla,,PrnB,PrnC,PrnD
,Bacilli,Bacillales,Bacillaceae,Bacillus infantis NRRL B-14911,FB,A,A,WP_009791998.1/WP_022543346.1/AGX03001.1/WP_009791824.1/WP_022544296.1/WP_022543264.1,A
,Bacilli,Bacillales,Bacillaceae,Bacillus krulwichiae AM31D,FB,A,A,ARK29903.1/ARK29758.1/ARK32923.1/ARK29065.1/ARK30611.1/ARK31377.1/ARK29199.1/ARK31781.1,ARK30488.1
,Bacilli,Bacillales,Bacillaceae,Bacillus licheniformis DSM 13 =  ATCC 14580,FB,A,A,WP_011198211.1/WP_003180351.1/WP_003178046.1/WP_011197634.1/WP_009328569.1,A
,Bacilli,Bacillales,Bacillaceae,Bacillus megaterium NBRC 15308 = ATCC 14581,FB,A,A,WP_016763565.1/WP_034652458.1/WP_034651203.1/WP_034649963.1/WP_034650446.1/WP_034651167.1/WP_013085249.1,WP_034654223.1/WP_034649526.1/WP_034653266.1
,Bacilli,Bacillales,Bacillaceae,Bacillus methanolicus MGA3,FB,A,A,WP_038502274.1/WP_003346945.1/WP_003347078.1/WP_003346947.1,A
,Bacilli,Bacillales,Bacillaceae,Bacillus mycoides ATCC 6462,FB,A,A,WP_131245625.1/WP_060750409.1/WP_044438186.1/WP_078175732.1/WP_070146671.1/WP_070139581.1/WP_131230465.1/WP_016105250.1/WP_070170326.1/WP_088078818.1/WP_088294167.1/QBP91438.1/WP_078185840.1/WP_098635004.1/WP_012260937.1/WP_002035105.1/WP_003193477.1/WP_088039373.1/WP_033731059.1/WP_002185870.1/WP_060751790.1/WP_098168192.1/WP_085311079.1/WP_078176194.1/WP_002168385.1/WP_078214338.1/WP_113936516.1/WP_002069263.1/WP_070128380.1/WP_071151274.1/WP_016105598.1/WP_070142702.1/WP_002121216.1/WP_128280045.1/WP_002127375.1/WP_131230965.1/WP_078422504.1/WP_063226558.1/WP_016126933.1/WP_088058899.1/WP_078203273.1/WP_050001356.1/WP_044444105.1/WP_085312070.1/WP_078185287.1/WP_098168580.1/QBP90564.1/WP_012261362.1/WP_002012908.1/WP_070144308.1/WP_088009137.1/WP_042978991.1/WP_002066700.1/WP_085309907.1/WP_002064368.1/WP_088078074.1/WP_002011571.1/WP_002030511.1/WP_088098836.1/WP_002188868.1/WP_000772580.1/WP_002126152.1/WP_078184146.1/WP_078179555.1/WP_087995604.1/WP_078178266.1/WP_044437878.1/WP_070138971.1/WP_002202704.1/WP_103458457.1/WP_000772579.1/WP_113936971.1/WP_070141389.1/,WP_002065119.1/WP_002118834.1/WP_070142242.1
,Bacilli,Bacillales,Bacillaceae,Bacillus oceanisediminis 2691,FB,A,A,WP_099049190.1/AND42910.1/WP_019381638.1/WP_019383019.1/WP_019380540.1/WP_019381037.1/WP_009333813.1/WP_019381130.1/WP_019381283.1/,WP_019380491.1/WP_019381281.1/WP_019382100.1
,Bacilli,Bacillales,Bacillaceae,Bacillus pseudofirmus OF4,FB,A,A,WP_012958221.1/WP_012960827.1/WP_012960847.1/WP_012960193.1/AEV21177.1/WP_012960914.1/WP_012959193.1,A
,Bacilli,Bacillales,Bacillaceae,Bacillus pumilus SH-B9,FB,A,A,AMM99346.1/AMM98325.1/AMM97526.1,AMM97524.1
,Bacilli,Bacillales,Bacillaceae,Bacillus simplex SH-B26,FB,A,A,AMM94700.1/AMM95717.1/AMM92797.1/AMM94949.1/AMM94666.1/AMM95310.1/AMM93730.1,A
,Bacilli,Bacillales,Bacillaceae,Bacillus smithii DSM 4216,FB,A,A,WP_048622625.1/WP_003353427.1,WP_003355339.1
,Bacilli,Bacillales,Bacillaceae,Bacillus subtilis subsp. subtilis str. 168,FB,A,A,WP_003226825.1/WP_003228615.1/WP_004399325.1/AIY93219.1,WP_003246252.1
,Bacilli,Bacillales,Bacillaceae,Bacillus thuringiensis YBT-1518,FB,A,A,WP_023521925.1/WP_023522644.1/WP_023523633.1/WP_023522602.1/WP_023522822.1/WP_000333302.1/WP_000772526.1/WP_023520971.1,A
,Bacilli,Bacillales,Bacillaceae,Bacillus weihaiensis Alg07,FB,A,A,APH03295.1/APH06958.1/WP_072580694.1/WP_072581634.1,A
,Bacilli,Bacillales,Bacillaceae,Fictibacillus phosphorivorans G25-29,FB,A,A,ANC77065.1/ANC78737.1/ANC76275.1/ANC79050.1/ANC78211.1/ANC79197.1,ANC77065.1
,Bacilli,Bacillales,Bacillaceae,Geobacillus thermodenitrificans NG80-2,FB,A,A,WP_011886847.1/WP_011888004.1/WP_008879763.1/WP_081432631.1/ABO65643.1,A
,Bacilli,Bacillales,Bacillaceae,Geobacillus thermoleovorans KCTC 3570,FB,A,A,WP_069304196.1/WP_069304181.1/WP_014195826.1/AEV18368.1/WP_029760344.1/WP_011886847.1/WP_014195829.1/WP_011232490.1/WP_047758158.1/WP_011232309.1/GAJ57757.1/WP_033026072.1/WP_068895830.1/AEV20681.1/WP_047819021.1/ODA15931.1/WP_099233268.1/WP_023633359.1/AMV09653.1/WP_062899070.1/WP_021321298.1/WP_014197020.1/WP_013144288.1/WP_099233050.1,WP_033008815.1
,Bacilli,Bacillales,Bacillaceae,Halobacillus halophilus DSM 2266,FB,A,A,WP_014645352.1/WP_014645017.1/WP_014644073.1/WP_014644504.1/WP_014641841.1/WP_014645129.1/WP_014642822.1/WP_087946119.1/CCG43578.1/WP_014642769.1,A
,Bacilli,Bacillales,Bacillaceae,Halobacillus mangrovi KTB 131,FB,A,A,ARI75937.1/ARI75943.1/ARI76399.1/ARI79214.1,A
,Bacilli,Bacillales,Bacillaceae,Lentibacillus amyloliquefaciens LAM0015,FB,A,A,ALX48427.1/ALX50106.1/ALX48776.1/ALX50053.1,A
,Bacilli,Bacillales,Bacillaceae,Lysinibacillus fusiformis RB-21,FB,A,A,AJK86157.1/AJK86590.1/AJK88789.1/AJK88791.1/AJK86747.1,A
,Bacilli,Bacillales,Bacillaceae,Lysinibacillus sphaericus LMG 22257,FB,A,A,AOV07185.1/AOV06631.1/AOV08654.1/AOV08651.1,AOV08056.1
,Bacilli,Bacillales,Bacillaceae,Oceanobacillus iheyensis HTE831,FB,A,A,WP_011066129.1/WP_011066263.1,A
,Bacilli,Bacillales,Bacillaceae,Parageobacillus thermoglucosidasius DSM 2542,FB,A,A,WP_064551661.1/WP_064551644.1/OUM89378.1/RDE28784.1/WP_003252603.1/WP_125010456.1/WP_013877372.1/WP_064552600.1/WP_125009325.1/RDE20380.1/WP_003248543.1,WP_064553727.1/WP_125009869.1/RDE32830.1/RDE27100.1/WP_003250661.1/OUM86328.1/WP_013400900.1/WP_013876971.1
,Bacilli,Bacillales,Bacillaceae,Salimicrobium jeotgali MJ3,FB,A,A,EKE32366.1/EKE31928.1/EKE32968.1/EKE31782.1/WP_008590797.1,A
,Bacilli,Bacillales,Bacillaceae,Terribacillus goriensis MP602,FB,A,A,AIF66153.1/AIF67250.1/AIF66618.1/AIF68091.1/AIF66583.1/AIF66503.1,A
,Bacilli,Bacillales,Bacillaceae,Virgibacillus halodenitrificans PDB-F2,FB,A,A,APC47973.1/APC49440.1/APC49549.1/APC47291.1/APC50093.1/APC48508.1/APC48801.1,APC49432.1/APC48508.1
,Bacilli,Bacillales,Bacillaceae,Virgibacillus necropolis LMG 19488,FB,A,A,WP_089533363.1/WP_089532617.1/WP_089532197.1/WP_089531155.1/WP_089531787.1/WP_089533802.1/WP_089533364.1,WP_089534320.1
,Bacilli,Bacillales,Listeriaceae,Listeria monocytogenes EGD-e,FB,A,A,WP_010989840.1/WP_010990122.1/WP_010990105.1,A
,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus brevis NBRC 100599 ,FB,A,A,WP_012685451.1/WP_012685689.1/WP_081437258.1/WP_041749850.1/BAH43843.1/BAH45124.1/WP_012685872.1/WP_012685442.1,A
,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus laterosporus LMG 15441,FB,A,A,WP_003338496.1/AIG27769.1/WP_051876126.1/WP_003336463.1/WP_003335911.1/WP_003333991.1,A
,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus beijingensis DSM 24997,FB,A,A,WP_082083625.1/WP_045669585.1/AJY77583.1/WP_082083659.1/WP_045671535.1/AJY77954.1/WP_082084061.1/WP_045670391.1/AJY77837.1/WP_052703035.1,WP_045669527.1/WP_045668863.1/WP_045671645.1/WP_045671444.1/WP_045669145.1/WP_082083631.1/AJY77531.1/WP_045669867.1
,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus borealis DSM 13188,FB,A,A,WP_042213892.1/WP_081972338.1/WP_076113520.1/WP_076114532.1/WP_042218415.1,AIQ57942.1/WP_042212397.1/WP_076109413.1
,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus bovis BD3526,FB,A,A,ANF96925.1/ANF97212.1/ANF94891.1/ANF96168.1,ANF94672.1
,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus donghaensis KCTC 13049,FB,A,A,WP_087915694.1/WP_087918761.1/WP_087918959.1,WP_087914809.1/WP_087920223.1
,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus durus DSM 1735,FB,A,A,WP_025695467.1/WP_046723408.1,WP_025697581.1/WP_042207409.1/WP_025695935.1/WP_042209227.1/AIQ12273.1/WP_046724111.1/WP_025698977.1/WP_042209330.1
,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus larvae subsp. larvae ATCC 9545,FB,A,A,AHD05086.1/WP_042118778.1/WP_036658081.1/PCK71144.1/WP_023482751.1/WP_023482560.1/WP_024093916.1/WP_079940609.1/ETK29765.1/AVF25005.1/WP_077997630.1/WP_036657535.1,A
,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus mucilaginosus 3016,FB,A,A,WP_014372659.1/WP_014371221.1/WP_013915539.1/WP_014370919.1/AFC33561.1/WP_051045016.1/WP_013916895.1/WP_014372225.1/WP_014372116.1/WP_013918939.1/WP_014370549.1,WP_014368482.1/WP_014368340.1/WP_014372305.1/WP_014370569.1
,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus naphthalenovorans 32O-Y,FB,A,A,ALS23656.1/ALS24680.1/ALS20754.1,ALS21812.1/ALS24136.1/ALS23599.1
,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus odorifer DSM 15391,FB,A,A,OMD46316.1/WP_081383074.1/WP_076296660.1/WP_076276553.1/WP_076190341.1/WP_076274512.1/WP_076302092.1/WP_076099206.1/WP_038571172.1/WP_076307820.1/WP_076218972.1/WP_076309444.1/WP_076125547.1/WP_076309430.1/WP_076296667.1/WP_111504140.1/WP_076280608.1/WP_076272572.1/WP_076203716.1/WP_036677273.1/WP_076184633.1/WP_094900816.1/WP_076317041.1/WP_038571138.1/WP_076105729.1/WP_076274506.1/WP_076306473.1/WP_076303732.1/WP_076133215.1/WP_076190324.1/WP_076184978.1/WP_076219655.1/WP_076130599.1/WP_076281838.1/WP_076307833.1/WP_076303716.1/WP_076302100.1/WP_076278079.1/WP_076201305.1/WP_076306558.1/WP_076278504.1/WP_076133194.1/WP_076223632.1,WP_080742696.1/OME59867.1/AIQ74151.1
,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus polymyxa SC2,FB,A,A,WP_013370102.1/WP_013373503.1/WP_013373186.1/WP_013373918.1/WP_013371199.1/WP_013370776.1,WP_014600038.1
,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus stellifer DSM 14472,FB,A,A,WP_038696446.1,AIQ63421.1/WP_052098328.1/WP_038698786.1
,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus swuensis DY6,FB,A,A,ANE48578.1/ANE48550.1/ANE45689.1/ANE48382.1/ANE48142.1/ANE47797.1/ANE47621.1,A
,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus yonginensis DCY84,FB,A,A,ANS73636.1/ANS77023.1/ANS76916.1,ANS76216.1/ANS77315.1/ANS73587.1
,Bacilli,Bacillales,Paenibacillaceae,Thermobacillus composti KWC4,FB,A,A,WP_015254193.1/WP_015256304.1/AGA59781.1/WP_086010536.1/WP_015254656.1/WP_015254826.1,WP_015254193.1
,Bacilli,Bacillales,Planococcaceae,Jeotgalibacillus malaysiensis D5,FB,A,A,AJD91799.1/AJD92944.1/WP_039806417.1/AJD91840.1/AJD92735.1/AJD91214.1,A
,Bacilli,Bacillales,Planococcaceae,Solibacillus silvestris DSM 12223,FB,A,A,WP_065216108.1/WP_065215479.1/WP_014822477.1/WP_008405905.1/WP_008408187.1/WP_039967028.1/WP_014822738.1/WP_065216707.1/WP_008406029.1,A
,Bacilli,Bacillales,Planococcaceae,Planococcus antarcticus DSM 14505,FB,A,A,WP_006830591.1/WP_006829919.1/WP_065536797.1/WP_006828611.1/WP_065537290.1/WP_040852722.1,A
,Bacilli,Bacillales,Planococcaceae,Planococcus kocurii ATCC 43650,FB,A,A,WP_058385155.1/WP_058386311.1/WP_058385166.1/WP_058385788.1/WP_058385490.1/WP_082707578.1/ALS79780.1,A
,Bacilli,Bacillales,Planococcaceae,Planococcus rifietoensis M8,FB,A,A,ALS75616.1/ALS75022.1/ALS74968.1/ALS74153.1,A
,Bacilli,Bacillales,Planococcaceae,Planococcus sp. Y42,FB,A,A,WP_077588257.1/WP_077590631.1/AQQ55199.1/WP_077588280.1,A
,Bacilli,Bacillales,Planococcaceae,Rummeliibacillus stabekisii PP9,FB,A,A,AMW99419.1/AMX00762.1/AMW99656.1/AMX00201.1/AMX00627.1/AMW98064.1,AMX00554.1
,Bacilli,Bacillales,Planococcaceae,Sporosarcina psychrophila DSM 6497,FB,A,A,AMQ04610.1/AMQ05309.1/AMQ04903.1/AMQ06893.1/AMQ05570.1/AMQ05752.1/AMQ08211.1/AMQ05657.1,A
,Bacilli,Bacillales,Planococcaceae,Sporosarcina ureae P17a,FB,A,A,ARF18934.1/ARF17202.1/ARF16424.1/ARF15927.1/ARF16652.1/ARF16685.1/ARF16036.1,ARF17110.1
,Bacilli,Bacillales,Staphylococcaceae,Macrococcus canis KM45013,FB,A,A,ARQ05794.1/ARQ07475.1/ARQ08109.1,A
,Bacilli,Bacillales,Staphylococcaceae,Salinicoccus halodurans H3B36,FB,A,A,AKG73846.1/AKG74957.1/AKG72773.1/AKG74722.1/AKG74318.1,A
,Bacilli,Bacillales,Staphylococcaceae,Auricoccus indicus S31,FB,A,A,WP_077141074.1/AQL56516.1,A
,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus aureus subsp. aureus NCTC 8325,FB,A,A,WP_000249662.1,A
,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus capitis subsp. capitis AYP1020,FB,A,A,AKL93029.1/AKL93412.1/AKL92181.1/AKL93155.1/AKL92756.1,A
,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus condimenti DSM 11674,FB,A,A,VEG64062.1/WP_047131706.1/WP_130135584.1/WP_130135226.1/WP_047131964.1,A
,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus epidermidis ATCC 12228,FB,A,A,ASJ94232.1/WP_011082607.1/BAE19479.1,A
,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus equorum KS1039,FB,A,A,ALM58211.1/ALM55953.1/ALM55787.1/ALM58361.1,A
,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus haemolyticus JCSC1435,FB,A,A,WP_011276588.1/WP_011275693.1/WP_011276914.1,A
,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus hyicus ATCC 11249,FB,A,A,WP_095104699.1/WP_107633370.1/WP_039643906.1,A
,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus lugdunensis HKU09-01,FB,A,A,ADC88319.1/WP_002479206.1/WP_002479103.1/WP_002478143.1/WP_002479038.1/WP_002459422.1,A
,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus lutrae ATCC 700373,FB,A,A,WP_085237163.1/WP_085237249.1/WP_085238201.1,A
,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus pettenkoferi FDAARGOS_288,FB,A,A,ASE37125.1/ASE37251.1/ASE36137.1,A
,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus pseudintermedius HKU10-03,FB,A,A,WP_015729751.1/WP_015729691.1/WP_015728502.1/WP_015729154.1/,A
,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus saprophyticus subsp. saprophyticus ATCC15305,FB,A,A,A,A
,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus sciuri FDAARGOS_285,FB,A,A,ASE35374.1,A
,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus simulans FDAARGOS_124,FB,A,A,AMG95835.1,A
,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus succinus 14BME20,FB,A,A,A,A
,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus warneri SG1,FB,A,A,WP_015364887.1/WP_015365426.1,A
,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus xylosus HKUOPL8,FB,A,A,AID02893.1/AID03053.1/AID02771.1/AID01230.1/AID02664.1/AID01057.1,A
,Bacilli,Bacillales,Thermoactinomycetaceae,Novibacillus thermophilus SG-1,FB,A,A,AQS56507.1/AQS57436.1/AQS56506.1/AQS56397.1,A
,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus christensenii CCUG28831,FL,A,A,AMB93090.1/AMB92344.1/AMB92122.1,A
,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus sanguinicola CCUG43001,FL,A,A,A,A
,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus urinae CCUG36881,FL,A,A,AMB95793.1/AMB95927.1/AMB96577.1,A
,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus urinaehominis CCUG42038B,FL,A,A,AMB99922.1/AMB99728.1,A
,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus viridans CCUG 4311,FL,A,A,A,A
,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium inhibens subsp. gilichinskyi WN1359,FL,A,A,A,A
,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium maltaromaticum LMA28,FL,A,A,WP_015077738.1/CRI06600.1,A
,Bacilli,Lactobacillales,Carnobacteriaceae,Jeotgalibaca dankookensis EX-07,FL,A,A,AQS54022.1/AQS54333.1/AQS52438.1/AQS53115.1,A
,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus casseliflavus EC20,FL,A,A,WP_010749698.1/WP_015509534.1,A
,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus faecalis V583,FL,A,A,WP_002376666.1/WP_010774184.1/WP_002357780.1,A
,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus faecium DO,FL,A,A,WP_002288576.1/WP_002289179.1/WP_002289757.1,A
,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus hirae ATCC 9790,FL,A,A,WP_010737405.1/WP_010737843.1,A
,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus mundtii QU 25,FL,A,A,WP_010735106.1/WP_019722718.1,A
,Bacilli,Lactobacillales,Enterococcaceae,Melissococcus plutonius S1,FL,A,A,WP_015695024.1/WP_013774630.1,A
,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus halophilus NBRC 12172,FL,A,A,A,A
,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus penaei CD276,FL,A,A,AQP52979.1/AQP53881.1,A
,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus teuberi DSM 21459,FL,A,A,WP_084657222.1/APB31709.1/WP_071456793.1/WP_071456747.1,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus acetotolerans NBRC 13120,FL,A,A,BAQ57541.1/BAQ56469.1,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus acidipiscis ACA-DC 1533,FL,A,A,SFV39492.1,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus acidophilus NCFM,FL,A,A,WP_003549419.1,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus agilis La3,FL,A,A,ASR41328.1,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus amylolyticus L6,FL,A,A,ARD07377.1/ARD06979.1,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus amylophilus DSM 20533 = JCM 1125,FL,A,A,WP_054745923.1,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus amylovorus 30SC,FL,A,A,ADZ07264.1/ADZ08227.1,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus backii TMW 1.1989,FL,A,A,ANK59433.1/ANK62549.1/ANK59143.1/ANK60867.1/ANK61215.1,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus brevis ATCC 367,FL,A,A,A,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus buchneri CD034,FL,A,A,WP_014940265.1,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus crustorum MN047,FL,A,A,A,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus curieae CCTCC M 2011381,FL,A,A,GAY73416.1,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus curvatus MRS6,FL,A,A,A,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842 = JCM 1002,FL,A,A,WP_003623640.1,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus fermentum IFO 3956,FL,A,A,WP_012391543.1/WP_012390901.1,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus gallinarum HFD4,FL,A,A,ALJ23015.1/ALJ23666.1,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus gasseri ATCC 33323 = JCM 1131,FL,A,A,WP_003647448.1/WP_003646998.1,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus ginsenosidimutans EMML 3041,FL,A,A,A,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus heilongjiangensis DSM 28069,FL,A,A,WP_041501375.1,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus helveticus CAUH18,FL,A,A,A,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus hokkaidonensis JCM 18461,FL,A,A,WP_041092187.1,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus jensenii SNUV360,FL,A,A,APT14040.1,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus kefiranofaciens ZW3,FL,A,A,WP_013854933.1/WP_013851173.1/WP_013854132.1/WP_013854453.1,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus koreensis 26-25,FL,A,A,AKP65193.1,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus kunkeei MP2,FL,A,A,KFJ15735.1,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus lindneri TMW 1.481,FL,A,A,A,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus mucosae LM1,FL,A,A,WP_048345246.1/WP_006499321.1/WP_006499888.1/WP_048345476.1,A
,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus parabuchneri FAM21731 ,FL,A,A,APR07981.1,A
