FILO,CLASSE,ORDEM,FAMÍLIA,ESPÉCIES,Sigla,,PrnB,PrnC,PrnD
,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio desulfuricans ND132,DT,A,A,WP_014323051.1/WP_014322047.1/WP_014322029.1/WP_014322492.1/WP_014321023.1,A
,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio fairfieldensis CCUG 45958,DT,A,A,AMD91533.1/AMD91480.1/AMD90989.1/AMD90329.1,A
,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio magneticus RS-1 ,DT,A,A,WP_015862935.1/WP_015862133.1,A
,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio piger FI11049,DT,A,A,SFV71990.1,A
,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio salexigens DSM 2638,DT,A,A,WP_015853641.1/ACS81217.1/WP_081434608.1/WP_015850425.1/WP_015851243.1/WP_015850478.1/WP_015851623.1/WP_012766001.1,A
,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio vulgaris str. 'Miyazaki F',DT,A,A,WP_012611675.1/WP_015946261.1,A
,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio vulgaris str. Hildenborough,DT,A,A,WP_010939509.1/WP_010937684.1/WP_010939096.1/WP_010938716.1/WP_010939124.1,A
,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Lawsonia intracellularis PHE/MN1-00,DT,A,A,A,A
,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Pseudodesulfovibrio aespoeensis Aspo-2,DT,A,A,WP_013515910.1/WP_013515465.1/WP_013514287.1/WP_013513727.1/WP_013514647.1,A
,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Pseudodesulfovibrio indicus J2,DT,A,A,AMK10056.1/AMK10928.1/WP_066804408.1/AMK11078.1/AMK11600.1,A
,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,Desulfurella acetivorans A63,DT,A,A,WP_025391694.1/WP_025391918.1/WP_025392421.1/WP_025391584.1/WP_025392733.1/WP_025392643.1/WP_025391398.1,A
,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,Hippea maritima DSM 10411 ,DT,A,A,WP_013681633.1/WP_013681434.1,A
,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromonas soudanensis WTL,DT,A,A,ALC15997.1/ALC17308.1/WP_053549209.1,A
,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Pelobacter acetylenicus DSM 3246,DT,A,A,WP_072286785.1/WP_072286314.1,A
,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Pelobacter carbinolicus DSM 2380,DT,A,A,ABA88623.1/WP_041531303.1/WP_011342152.1/WP_011340026.1/WP_011340127.1/WP_011339766.1/WP_011342444.1,A
,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Pelobacter propionicus DSM 2379,DT,A,A,WP_041532127.1/WP_011734960.1,A
,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geoalkalibacter subterraneus Red1,DT,A,A,AJF05312.1/AJF05490.1,A
,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter bemidjiensis Bem,DT,A,A,WP_012529878.1/WP_012532443.1/WP_012528657.1,WP_012528600.1
,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter daltonii FRC-32,DT,A,A,WP_012645316.1/WP_012647528.1/WP_012645332.1,A
,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter lovleyi SZ,DT,A,A,WP_012469669.1/WP_049759599.1/WP_012469076.1,A
,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter metallireducens GS-15,DT,A,A,WP_011365914.1/WP_081431790.1/ABB32420.1,WP_004513189.1
,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter pickeringii,DT,A,A,WP_039742561.1/WP_052263329.1/AJE03082.1,A
,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter sulfurreducens PCA,DT,A,A,A,WP_010941509.1/WP_010943852.1
,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geobacter uraniireducens Rf4,DT,A,A,WP_011937863.1/WP_011940370.1/WP_011938186.1/WP_011937733.1,A
,Deltaproteobacteria,Myxococcales,Anaeromyxobacteraceae,Anaeromyxobacter dehalogenans 2CP-1 ,DT,A,A,WP_012632760.1/WP_012631595.1,WP_012633233.1
,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium gephyra DSM 2261,DT,A,A,PZR08936.1/WP_053066333.1/PZR09342.1/WP_047854656.1/WP_116120577.1/WP_047855262.1/WP_047856258.1/WP_047860716.1/WP_047860569.1/WP_047854513.1/PZR11907.1/PZR15520.1/WP_047857435.1/PZR18617.1/AYM53738.1/PZR13200.1,WP_047855652.1/WP_047854693.1/PZR18539.1/WP_047861926.1/REG34367.1/PZR13264.1/WP_047855253.1/AKJ00416.1/PZR13561.1/WP_047861578.1/AKI99853.1/WP_047861094.1/PZR13636.1/PZR03001.1/WP_047857420.1/AKJ03329.1/WP_047858722.1/PZR16758.1/PZR13845.1
,Deltaproteobacteria,Myxococcales,Archangiaceae,Stigmatella aurantiaca DW4/3-1,DT,A,A,A,A
,Deltaproteobacteria,Myxococcales,Myxococcaceae,Corallococcus coralloides DSM 2259,DT,A,A,WP_014398650.1/WP_014399988.1/WP_014397126.1/WP_014393727.1/WP_014397219.1/WP_014395405.1/WP_014394080.1/WP_014397404.1/AFE08261.1/WP_043324427.1/WP_014394802.1/WP_083892337.1/WP_014397312.1/WP_083892127.1/WP_014393607.1,WP_014393778.1/WP_014395600.1/WP_014399873.1/WP_014393131.1/WP_014397448.1/WP_014398081.1
,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus fulvus Mx f147,DT,AAD46369.1,AAD46366.1,AAD46367.1/WP_046713093.1/WP_074957542.1/WP_074957710.1/WP_046712397.1,AAD46368.1/WP_074949325.1/WP_046711140.1/WP_074958313.1/WP_046711780.1/WP_046716319.1/WP_074953415.1/SET99073.1/WP_046713021.1/WP_046718075.1/WP_074951952.1/AKF81931.1
,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus macrosporus HW-1,DT,A,A,AEI64574.1/AEI67021.1/AEI63480.1/AEI62349.1/AEI62085.1/AEI65097.1/AEI64263.1/AEI63369.1/AEI63864.1/AEI68646.1/AEI63873.1/AEI67728.1,AEI62680.1/AEI62068.1/AEI66886.1/AEI64725.1/AEI67380.1/AEI64066.1/AEI66922.1/AEI66209.1
,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus stipitatus DSM 14675,DT,WP_015348860.1/WP_015348866.1,A,WP_015348875.1/WP_015352751.1/WP_015348677.1/WP_015346957.1/WP_015350339.1/WP_015352211.1/WP_084668109.1/WP_044900928.1/AGC48821.1/WP_015347811.1/AGC43359.1/WP_084668119.1/WP_015351203.1/WP_015349039.1/WP_015347430.1,WP_015346648.1/WP_044283400.1/AGC43067.1/WP_015350370.1/WP_015352631.1/WP_015350047.1/WP_015348768.1/WP_015348987.1
,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus xanthus DK 1622,DT,A,A,ABF90647.1/WP_020478228.1/WP_011556560.1/WP_011553563.1/WP_011554920.1/WP_011551457.1/WP_011551705.1/WP_011556861.1/WP_011550328.1/WP_011557239.1/WP_011556009.1/WP_011551047.1/WP_011550423.1/WP_011554234.1/WP_011557248.1/WP_011556144.1,WP_011551721.1/WP_011551102.1/WP_011553475.1/ABF86401.1/WP_011556419.1/WP_020478068.1/WP_011553868.1/WP_011553511.1/WP_011552825.1/WP_011553011.1
,Deltaproteobacteria,Myxococcales,Polyangiaceae,Chondromyces crocatus Cm c5,DT,A,A,AKT41223.1/AKT41163.1/AKT38389.1/Q0VZ69.1/AKT36470.1/AKT38108.1/AKT39111.1/AKT35949.1/AKT40850.1/AKT39411.1/AKT38957.1/AKT41363.1/AKT37338.1/AKT39573.1/AKT39042.1/AKT39227.1,AKT40981.1/AKT36084.1/AKT43096.1/AKT39040.1/AKT42557.1/AKT42257.1
,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium cellulosum So ce 56,DT,A,A,CAN97472.1/CAN96348.1/CAN91389.1/CAN93930.1/CAN92805.1/CAN95107.1/CAN93878.1/CAN93509.1/CAN92163.1,CAN92042.1/CAN97137.1/CAN91464.1
,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Sandaracinus amylolyticus DSM 53668,DT,A,A,WP_083457998.1/WP_053238082.1/WP_083457272.1/AKF04781.1/WP_083458075.1/AKF09558.1/WP_053230958.1/WP_053235145.1/WP_053230957.1/WP_053234428.1/WP_053231516.1/WP_053232731.1/WP_053232149.1/WP_083457114.1/AKF11630.1/WP_053238475.1/AKF05496.1/WP_053236221.1/WP_083457165.1/WP_053238355.1/WP_053232115.1/WP_053233519.1/AKF11431.1/WP_083458398.1/AKF03318.1/WP_053230770.1,WP_053232111.1/WP_083457180.1/WP_053233476.1/WP_053236721.1/AKF09694.1/WP_053232370.1/WP_053238123.1/WP_075097667.1
,Deltaproteobacteria,Myxococcales,Vulgatibacteraceae,Vulgatibacter incomptus DSM 27710,DT,A,A,WP_050726337.1/WP_082342540.1/WP_050724280.1/WP_050727055.1/WP_050726721.1/WP_050726009.1,WP_050726035.1
,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Desulfobacca acetoxidans DSM 11109,DT,A,A,WP_013705827.1/WP_013705179.1/WP_013705814.1/WP_013705825.1/AEB08697.1/WP_083800192.1,A
,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Desulfomonile tiedjei DSM 6799,DT,A,A,WP_014813104.1/WP_014809975.1/WP_014812744.1/WP_014812846.1/WP_014809652.1/WP_014808721.1,A
,Deltaproteobacteria,Syntrophobacterales,Syntrophaceae,Syntrophus aciditrophicus SB,DT,A,A,WP_011416387.1/WP_011418751.1/WP_011418931.1/WP_011416052.1/WP_011416156.1/WP_011416631.1,A
,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Syntrophobacter fumaroxidans MPOB,DT,A,A,WP_011698045.1/WP_011698041.1/WP_011697694.1/WP_011699931.1/WP_011698830.1/WP_011697569.1,A
Epsilonproteobacteria,Epsilonproteobacteria,?,?,Sulfurovum lithotrophicum ATCC BAA-797,EP,A,A,AKF25810.1/AKF24929.1/AKF24968.1/PTB83615.1,A
,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter butzleri RM4018,EP,A,A,WP_012013020.1/WP_080504829.1,A
,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter nitrofigilis DSM 7299,EP,A,A,WP_013134607.1/WP_013136163.1/WP_013134740.1/WP_013133954.1,A
,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter coli aerotolerant OR12,EP,A,A,A,A
,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter concisus ATCC 33237,EP,A,A,WP_021083768.1/WP_012001109.1/WP_107915093.1/WP_103637457.1/WP_107805441.1/WP_103607314.1/WP_107937432.1/WP_103650070.1/WP_103646047.1/WP_103608990.1/WP_103645812.1/WP_087582076.1/WP_107929704.1/WP_103567964.1/WP_004318064.1/WP_103616707.1/WP_087579537.1/WP_107785524.1/WP_021090955.1/WP_084109107.1/WP_107686228.1/WP_103592819.1/WP_107969920.1/WP_109147159.1/WP_107695572.1/WP_103649535.1/WP_107690723.1/WP_107847334.1/WP_107811589.1/WP_103636283.1/WP_107830738.1/WP_107789165.1/WP_103560504.1/WP_103558234.1/WP_103615208.1/WP_085657819.1/WP_103570154.1/WP_103573709.1/WP_103618739.1/WP_107965449.1/WP_107804953.1/WP_103646339.1/WP_107698237.1/WP_103629030.1/WP_103633423.1/WP_087576566.1/WP_103639879.1/WP_107936542.1/WP_103647408.1/WP_103588823.1/WP_107849641.1/WP_002941274.1/WP_107791082.1/WP_103600240.1/WP_107775825.1/WP_072593924.1/WP_103616586.1/WP_107709266.1/WP_103624611.1/WP_103598612.1/WP_107714307.1/ORI08331.1/WP_087585418.1/WP_103596549.1/WP_021089411.1/WP_103635425.1/WP_107855756.1/WP_103645597.1/WP_107796738.1/WP_103607369.1/WP_103607781.1/WP_103566771.1/WP_103617865.1/WP_021086120.1/WP_084041638.1/WP_103581803.1/WP_087578308.1/WP_103603038.1/WP_103613280.1/WP_103649743.1/WP_103638161.1/WP_103590386.1/WP_103651982.1/WP_103620130.1/WP_087583506.1/WP_103597243.1/WP_103604219.1/WP_103583303.1/WP_103608359.1/WP_107916348.1/WP_103634452.1/WP_103572345.1/WP_107930986.1/WP_054196104.1/WP_103558961.1/WP_103602197.1/WP_021092667.1/WP_103646832.1/WP_103617396.1/WP_087583390.1/WP_012000995.1/WP_107936118.1/WP_107916232.1/WP_103615922.1/WP_021083834.1/WP_103637874.1/WP_103590892.1/WP_021088744.1/WP_107849425.1/WP_107832261.1/WP_103581277.1/WP_103570560.1/WP_103568700.1/WP_103607118.1/WP_103579165.1/WP_103575541.1/WP_103630024.1/WP_087581925.1/WP_103637567.1/WP_103576184.1/WP_087581743.1/WP_103577061.1/WP_103643496.1/WP_103605161.1/WP_107858454.1/WP_103579718.1/WP_012001206.1/WP_103613179.1,A
,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter cuniculorum DSM 23162 = LMG 24588,EP,A,A,A,A
,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter curvus 525.92,EP,A,A,WP_011991737.1/WP_069673711.1/WP_011991739.1/WP_009650884.1/WP_009650330.1/WP_011991751.1,A
,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter fetus subsp. testudinum 03-427,EP,A,A,AGZ82570.1/AGZ82176.1,A
,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter gracilis ATCC 33236,EP,A,A,WP_005871291.1/WP_005872034.1/WP_005870411.1/WP_005869380.1,A
,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter helveticus ATCC 51209,EP,A,A,WP_082199359.1,A
,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter hepaticus HV10,EP,A,A,AXP08935.1,A
,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter hominis ATCC BAA-381,EP,A,A,A,A
,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260,EP,A,A,A,A
,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter hyointestinalis subsp. lawsonii LMG 15993,EP,A,A,A,A
,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter iguaniorum 1485E,EP,A,A,AII15506.1/AII15077.1/AII14474.1,A
,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter insulaenigrae NCTC 12927,EP,A,A,A,A
,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819,EP,A,A,WP_002858210.1,A
,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter lari RM2100,EP,A,A,ACM64725.2/ACM63694.2,A
,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter pinnipediorum subsp. pinnipediorum RM17260,EP,A,A,AQW80749.1/AQW80576.1/AQW80577.1/AQW81798.1/,A
,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter sputorum bv. faecalis CCUG 20703,EP,A,A,WP_089181781.1/WP_089181780.1,A
,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter ureolyticus RIGS 9880,EP,A,A,WP_050334987.1/WP_050334024.1,A
,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter volucris LMG 24379,EP,A,A,WP_039665701.1,A
,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Sulfurospirillum barnesii SES-3,EP,A,A,WP_014770369.1/WP_014769250.1,A
,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Sulfurospirillum cavolei UCH003,EP,A,A,WP_039672266.1/WP_060826027.1/WP_039675668.1/DAB36148.1,A
,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Sulfurospirillum deleyianum DSM 6946,EP,A,A,WP_012857213.1/WP_012857243.1,A
,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Sulfurospirillum multivorans DSM 12446,EP,A,A,WP_025346076.1/WP_025343289.1/WP_025343276.1/WP_025345207.1,A
,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter bilis AAQJH,EP,A,A,AQQ59914.1,A
,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter cetorum MIT 00-7128,EP,A,A,A,A
,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter cetorum MIT 99-5656,EP,A,A,A,A
,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter cinaedi CCUG 18818 = ATCC BAA-847,EP,A,A,BAM32156.1/WP_050754586.1/EFR46699.1/,A
,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter felis ATCC 49179,EP,A,A,WP_013468797.1,A
,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter hepaticus ATCC 51449,EP,A,A,WP_011114860.1,A
,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter himalayensis YS1,EP,A,A,A,A
,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter mustelae 12198,EP,A,A,WP_013023056.1,A
,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter pylori 26695,EP,A,A,A,A
,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter typhlonius 1,EP,A,A,KGL19558.1,A
,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Sulfuricurvum kujiense DSM 16994,EP,A,A,WP_013459174.1/WP_013459193.1/ADR34027.1/WP_041667005.1/WP_013460303.1,A
,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Sulfurimonas autotrophica DSM 16294,EP,A,A,WP_013326354.1/WP_013326269.1,A
,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Sulfurimonas denitrificans DSM 1251,EP,A,A,WP_011372386.1,A
,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Wolinella succinogenes DSM 1740,EP,A,A,WP_011138088.1,A
,Epsilonproteobacteria,Nautiliales,Nautiliaceae,Nautilia profundicola AmH ,EP,A,A,WP_012663785.1/WP_012663878.1/WP_015902832.1/WP_012663822.1,A
,Epsilonproteobacteria,Nautiliales,Nautiliaceae ,Nitratifractor salsuginis DSM 16511,EP,A,A,WP_013553923.1,A
α-proteobacteria,Alphaproteobacteria,?,?,Micavibrio aeruginosavorus ARL-13,AF,A,A,WP_041793999.1/AEP10289.1/WP_014103550.1,A
,Alphaproteobacteria,?,?,Polymorphum gilvum SL003B-26A1,AF,A,A,WP_013654303.1/WP_013652337.1/WP_013653789.1/ADZ69943.1/WP_049792562.1/WP_013653459.1/WP_013653058.1/WP_013652550.1,WP_013653599.1/WP_013654460.1
,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis excentricus CB 48,AF,WP_041659426.1/ADU15015.1/WP_013479386.1/WP_013478224.1/WP_013480758.1/WP_013480760.1/WP_013480757.1/WP_013480834.1/WP_013481061.1/WP_013480055.1/WP_013480184.1/WP_013479387.1/WP_013479480.1/WP_013480777.1/WP_013480669.1/WP_013480833.1/WP_013480759.1,A,WP_013480055.1/WP_083805659.1/WP_013480447.1/WP_013479795.1/WP_013480834.1/WP_013480004.1/WP_013480379.1,WP_083805580.1/ADU13703.1/WP_013478021.1/WP_013479946.1/WP_013480069.1
,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas naejangsanensis B1,AF,A,A,ANF55857.1/ANF54299.1/ANF56019.1/ANF55294.1/ANF53419.1/ANF54289.1/ANF54007.1,ANF55552.1
,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas subvibrioides ATCC 15264,AF,WP_013270339.1/WP_013270310.1,A,WP_013269772.1/WP_013269685.1/WP_013270464.1/WP_013270565.1/WP_013269431.1/WP_013269400.1/WP_013269824.1/WP_013267787.1,WP_013267981.1
,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas vesicularis FDAARGOS_289,AF,ASE38322.1/ASE38179.1/ASE38176.1,A,ASE40901.1/ASE40312.1/ASE40911.1,ASE39849.1/ASE38811.1
,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter henricii CB4,AF,ALL12550.1/ALL13850.1/ALL12940.1/ALL15339.1/ALL14149.1/ALL12549.1/ALL14213.1/ALL12552.1/ALL15192.1/ALL12551.1,A,ALL12550.1/ALL14832.1/ALL14897.1/ALL15071.1/ALL12839.1/ALL13094.1/ALL14213.1/ALL13650.1/ALL12325.1/ALL13517.1/ALL13456.1,ALL12387.1/ALL14449.1
,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter segnis ATCC 21756,AF,WP_013079174.1/ADG10520.1/WP_013080798.1/WP_013079173.1/WP_013078712.1/WP_013080799.1/WP_013079131.1/WP_013080354.1,A,WP_013078879.1/WP_013078791.1/WP_013079227.1/WP_013079085.1/WP_013081281.1/WP_013078972.1/WP_013079032.1/WP_013078331.1/WP_013078006.1/WP_013079099.1,ADG10800.1/WP_041538595.1/WP_013080719.1/WP_085954004.1/ADG10273.1/ADG09338.1/WP_053463725.1
,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter vibrioides CB15,AF,NP_420563.1/NP_421601.1/NP_421604.1/NP_421603.1/NP_421091.1/NP_419788.1/NP_419604.1/NP_420340.1/NP_419787.1/NP_419818.1,A,NP_420147.1/YP_002515481.1/NP_420444.1,NP_421196.1/NP_419554.1/NP_421916.1
,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Caulobacter vibrioides NA1000,AF,YP_002517204.1/YP_002518269.1/YP_002518272.1/YP_002518271.1/YP_002517744.2/YP_002516396.1/YP_002516201.1/YP_002516971.1/YP_002516395.1/YP_002516427.1,A,YP_002517079.1/YP_002515481.1/YP_002516768.1,YP_002517849.1/YP_002516147.1/YP_002518595.1
